ticker,corporate_name,asset_turnover,cagr_earnings_5y,cagr_revenue_5y,cash,close_price,current_assets,current_liabilities,current_ratio,debt_equity,ebit,ebit_margin,ebit_over_assets,ebitda,ebitda_margin,equity,ev_ebit,ev_ebitda,gross_margin,lpa,market_cap,net_debt,net_debt_ebit,net_debt_ebitda,net_debt_equity,net_income,net_margin,net_revenue,p_assets,p_ebit,p_ebitda,p_sr,pl,pvp,reference_date,roa,roe,roic,shares_outstanding,total_assets,total_debt,vpa
AALR3,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,0.41,,2.55,123751.0,6.54,811048.0,806675.0,1.01,0.46,83409.0,6.8,2.76,150337.0,12.25,1066928.0,16.3,9.04,28.35,-0.81,996431012.28,363200.0,4.35,2.42,0.34,-123069.0,-8.6,1227460.0,0.33,11.95,6.63,0.81,-8.1,0.93,2025-09-30,-3.49,-11.53,3.85,152359482,3027413.0,486951.0,7.0
AALR3,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,0.42,,2.55,116421.0,4.97,742340.0,713915.0,1.04,0.41,93367.0,7.76,3.24,136101.0,11.32,1059074.0,11.56,7.93,28.94,-0.95,757226625.54,322048.0,3.45,2.37,0.3,-145452.0,-10.47,1202823.0,0.26,8.11,5.56,0.63,-5.21,0.71,2025-06-30,-4.37,-13.73,4.46,152359482,2878610.0,438469.0,6.95
AALR3,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,0.43,,2.55,122270.0,7.76,734367.0,746983.0,0.98,0.62,123630.0,9.94,4.32,145395.0,11.69,1074975.0,13.96,11.87,27.98,-0.46,1182309580.32,543284.0,4.39,3.74,0.51,-70203.0,-4.47,1243346.0,0.41,9.56,8.13,0.95,-16.84,1.1,2025-03-31,-1.94,-6.53,5.04,152359482,2859006.0,665554.0,7.06
AALR3,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,0.42,,2.55,114972.0,8.55,694432.0,666400.0,1.04,0.66,107060.0,8.8,3.71,209291.0,17.2,1094793.0,17.83,9.12,29.22,-0.85,1302673571.1,606741.0,5.67,2.9,0.55,-129119.0,-9.14,1216992.0,0.45,12.17,6.22,1.07,-10.09,1.19,2024-12-31,-3.85,-11.79,4.15,152359482,2889222.0,721713.0,7.19
AALR3,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,0.45,,1.84,167701.0,15.4,480300.0,625425.0,0.77,0.64,67570.0,5.65,2.56,148256.0,12.4,1147405.0,43.12,19.65,31.49,-1.14,2346336022.8,567271.0,8.4,3.83,0.49,-174312.0,-13.84,1195133.0,0.89,34.72,15.83,1.96,-13.46,2.04,2024-09-30,-6.27,-15.19,2.6,152359482,2636346.0,734972.0,7.53
AALR3,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,0.44,,1.84,254478.0,10.39,563769.0,719234.0,0.78,0.77,65527.0,5.47,2.43,119663.0,9.99,1089045.0,33.11,18.13,31.14,-1.15,1583015017.98,586688.0,8.95,4.9,0.54,-175866.0,-13.79,1197904.0,0.59,24.16,13.23,1.32,-9.0,1.45,2024-06-30,-6.13,-16.15,2.58,152359482,2692409.0,841166.0,7.15
AALR3,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,0.45,,1.84,97788.0,9.17,441301.0,672882.0,0.66,0.9,25028.0,2.14,0.97,52592.0,4.49,969191.0,86.59,41.21,29.56,-1.78,1397136449.94,769953.0,30.76,14.64,0.79,-270443.0,-22.36,1170643.0,0.54,55.82,26.57,1.19,-5.17,1.44,2024-03-31,-10.17,-27.9,0.95,152359482,2573677.0,867741.0,6.36
AALR3,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,0.44,,1.84,218595.0,10.4,524747.0,734820.0,0.71,1.14,39725.0,3.37,1.49,132855.0,11.26,917456.0,60.7,18.15,30.93,-1.5,1584538612.8,826687.0,20.81,6.22,0.9,-227878.0,-18.53,1179584.0,0.59,39.89,11.93,1.34,-6.95,1.73,2023-12-31,-8.19,-24.84,1.5,152359482,2669811.0,1045282.0,6.02
AALR3,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,0.4,,0.13,294614.0,9.77,620452.0,844100.0,0.74,1.04,10364.0,0.94,0.38,90093.0,8.14,1015113.0,216.65,24.92,29.83,-1.34,1488552139.14,756769.0,73.02,8.4,0.75,-204449.0,-17.69,1106584.0,0.54,143.63,16.52,1.35,-7.28,1.47,2023-09-30,-7.12,-20.14,0.39,152359482,2748190.0,1051383.0,6.66
AALR3,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,0.44,,0.13,95520.0,23.8,386719.0,708583.0,0.55,1.15,-13160.0,-1.18,-0.52,40941.0,3.66,865378.0,-343.6,110.45,29.5,-1.75,3626155671.6,895625.0,-68.06,21.88,1.03,-266894.0,-23.2,1117908.0,1.44,-275.54,88.57,3.24,-13.59,4.19,2023-06-30,-10.29,-30.84,-0.49,152359482,2520962.0,991145.0,5.68
